File Name,Page Number in Original Text,Height,Width,"Italics 
Present","Text 
Color","Page
Color 
Appearance
","Imperfections
Present"
fullconfutationofwitchcraft1712_001,3,4301,2626,Yes,Black,Yellow,Scratches
fullconfutationofwitchcraft1712_002,4,4301,2626,Yes,Black,Yellow,"Smudges
Underlining"
fullconfutationofwitchcraft1712_003,5,4301,2626,Yes,Black,Yellow,Smudges
fullconfutationofwitchcraft1712_004,6,4301,2626,Yes,Black,Yellow,Smudges
fullconfutationofwitchcraft1712_005,7,4301,2626,Yes,Black,Yellow,Dots
fullconfutationofwitchcraft1712_006,8,4301,2626,Yes,Black,Yellow,Smudges
fullconfutationofwitchcraft1712_007,9,4301,2626,Yes,Black,Yellow,Dots
fullconfutationofwitchcraft1712_008,10,4301,2626,Yes,Black,Yellow,None
fullconfutationofwitchcraft1712_009,11,4301,2626,Yes,Black,Yellow,Low ink
fullconfutationofwitchcraft1712_010,12,4301,2626,Yes,Black,Yellow,"Smudges
Low ink"
fullconfutationofwitchcraft1712_011,13,4301,2626,Yes,Black,Yellow,"Smudges
Low ink"
fullconfutationofwitchcraft1712_012,6,4301,2626,Yes,Black,Yellow,Low ink
fullconfutationofwitchcraft1712_013,15,4301,2626,No,Black,Yellow,"Smudges
Low ink"
fullconfutationofwitchcraft1712_014,16,4301,2626,Yes,Black,Yellow,None
fullconfutationofwitchcraft1712_015,17,4301,2626,Yes,Black,Yellow,Smudges
fullconfutationofwitchcraft1712_016,18,4301,2626,Yes,Black,Yellow,None
fullconfutationofwitchcraft1712_017,29,4301,2626,Yes,Black,Yellow,Low ink
fullconfutationofwitchcraft1712_018,20,4301,2626,Yes,Black,Yellow,None
fullconfutationofwitchcraft1712_019,21,4301,2626,Yes,Black,Yellow,None
fullconfutationofwitchcraft1712_020,22,4301,2626,Yes,Black,Yellow,Noone
fullconfutationofwitchcraft1712_021,23,4301,2626,Yes,Black,Yellow,Smudges
fullconfutationofwitchcraft1712_022,24,4301,2626,Yes,Black,Yellow,None
fullconfutationofwitchcraft1712_023,33,4301,2626,No,Black,Yellow,Low ink
fullconfutationofwitchcraft1712_024,34,4301,2626,Yes,Black,Yellow,None
fullconfutationofwitchcraft1712_025,35,4301,2626,Yes,Black,Yellow,None